AST Similarity,Token Similarity,Levenshtein Similarity,Length File 1,Length File 2,Function Count File 1,Function Count File 2,Variable Count File 1,Variable Count File 2,Comment Ratio File 1,Comment Ratio File 2,Cyclomatic Complexity File 1,Cyclomatic Complexity File 2,Label
1.0,1.0,1.0,2,2,1,1,4,4,0.0,0.0,1,1,1
0.0,0.9411764705882353,0.7837837837837838,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.5238095238095238,0.5576923076923077,2,3,1,1,4,5,0.0,0.0,1,1,1
0.0,0.9411764705882353,0.7567567567567568,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.9411764705882353,0.7837837837837838,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.5238095238095238,0.5576923076923077,2,3,1,1,4,5,0.0,0.0,1,1,1
0.0,0.9411764705882353,0.7567567567567568,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.5238095238095238,0.40384615384615385,2,3,1,1,4,5,0.0,0.0,1,1,0
0.0,0.9411764705882353,0.8108108108108107,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.5238095238095238,0.3846153846153846,3,2,1,1,5,4,0.0,0.0,1,1,0
0.0,0.9913793103448276,0.7878787878787878,10,10,1,1,9,8,0.0,0.0,4,4,1
0.0,0.9824561403508771,0.7888198757763976,8,8,1,1,10,9,0.0,0.0,2,2,1
0.0,0.15217391304347827,0.30000000000000004,6,7,1,1,4,6,0.0,0.0,1,2,0
0.0,0.5111111111111111,0.5448275862068965,7,7,1,1,4,6,0.0,0.0,2,2,0
0.0,0.9924242424242424,0.7722007722007722,21,21,2,2,19,21,0.0,0.0,6,6,1
0.0,0.19230769230769232,0.6305970149253731,25,26,3,3,20,24,0.0,0.0,6,7,0
0.0,0.963265306122449,0.7858921161825726,38,38,5,5,31,36,0.0,0.0,8,8,1
0.0,0.9685534591194969,0.7487711632987439,48,48,6,6,45,42,0.0,0.0,9,9,1
0.0,0.2644927536231884,0.769023569023569,40,41,5,5,38,38,0.0,0.0,8,8,0
0.0,0.94,0.7077137546468402,57,57,6,6,40,52,0.0,0.0,10,10,1
